id	name	type_etablissement	nb_etablissements	funnel_stage	address	phone	linkedin_url	DUI	employees	tagline	summary	notes	next_action	created_by	created_at	updated_by	updated_at	website	industry	uses_netsoins	score_icp	city	region	country
lna-jardins-ourcq-meaux	Les Jardins de l'Ourcq Meaux	Groupe	50	Premier contact	Meaux, 77100			NETSoins			EHPAD du groupe LNA Santé, Meaux (77)		Établir le premier contact avec Merouane Mele	Claude	2026-05-27									
adef-maison-parc-paris13	La Maison du Parc	Groupe	42	Premier contact	Paris 13e, 75013			NETSoins			EHPAD du groupe ADEF Résidences, Paris 13e (75)		Établir le premier contact avec Caroline Chaussard	Claude	2026-05-27	Claude	2026-05-28							
adef-cytises-gennevilliers	La Maison des Cytises	Groupe	42	Premier contact	Gennevilliers, 92230			NETSoins	82		EHPAD du groupe ADEF Résidences, Gennevilliers (92)		Vérifier si Lindsay Cafre-Saxemard toujours directrice (possiblement à Orly)	Claude	2026-05-27	Claude	2026-05-28							
adef-erable-clamart	La Maison de l'Érable Argenté	Groupe	42	Premier contact	Clamart, 92140			NETSoins	110		EHPAD du groupe ADEF Résidences, Clamart (92)		Identifier le/la successeur(e) de Marjorie Corvée-Grimault (partie chez Korian en 2025)	Claude	2026-05-27	Claude	2026-05-28							
adef-grand-cedre-arcueil	La Maison du Grand Cèdre	Groupe	42	Premier contact	Arcueil, 94110			NETSoins	85		EHPAD du groupe ADEF Résidences, Arcueil (94)		Identifier le directeur — introuvable publiquement, appeler directement l'établissement	Claude	2026-05-27	Claude	2026-05-28							
adef-saule-cendre-orly	La Maison du Saule Cendré	Groupe	42	Premier contact	Orly, 94310			NETSoins	83		EHPAD du groupe ADEF Résidences, Orly (94)		Établir le premier contact avec Lindsay Cafre-Saxemard	Claude	2026-05-27	Claude	2026-05-28							
adef-roses-villecresnes	La Maison du Jardin des Roses	Groupe	42	Premier contact	Villecresnes, 94290			NETSoins	84		EHPAD du groupe ADEF Résidences, Villecresnes (94)		Identifier le/la successeur(e) d'Angélique Filipe (partie oct. 2024)	Claude	2026-05-27	Claude	2026-05-28							
adef-sorieres-rungis	La Maison des Sorières	Groupe	42	Premier contact	Rungis, 94150			NETSoins	80		EHPAD du groupe ADEF Résidences, Rungis (94)		Identifier le directeur — introuvable publiquement, appeler directement l'établissement	Claude	2026-05-27	Claude	2026-05-28							
adef-chantereine-choisy	La Maison de la Chantereine	Groupe	42	Premier contact	Choisy-le-Roi, 94600			NETSoins	81		EHPAD du groupe ADEF Résidences, Choisy-le-Roi (94)		Identifier le/la successeur(e) de Mélanie Neufcourt (partie 2024)	Claude	2026-05-27	Claude	2026-05-28							
adef-laurier-saint-denis	La Maison du Laurier Noble	Groupe	42	Premier contact	Saint-Denis, 93200			NETSoins	75		EHPAD du groupe ADEF Résidences, Saint-Denis (93)		Identifier le directeur — introuvable publiquement, appeler directement l'établissement	Claude	2026-05-27	Claude	2026-05-28							
adef-eglantier-bondy	La Maison de l'Églantier	Groupe	42	Premier contact	Bondy, 93140			NETSoins	85		EHPAD du groupe ADEF Résidences, Bondy (93)		Contacter Istiebana T. (dir. adjointe) ou identifier la directrice principale	Claude	2026-05-27	Claude	2026-05-28							
adef-glycines-bourget	La Maison des Glycines	Groupe	42	Premier contact	Le Bourget, 93350			NETSoins	94		EHPAD du groupe ADEF Résidences, Le Bourget (93)		Établir le premier contact avec Maleek Camara	Claude	2026-05-27	Claude	2026-05-28							
adef-vallee-fleurs-stains	La Maison de la Vallée des Fleurs	Groupe	42	Premier contact	Stains, 93240			NETSoins	84		EHPAD du groupe ADEF Résidences, Stains (93)		Vérifier si Elodie Buriez est bien directrice à Stains (hypothèse, à confirmer)	Claude	2026-05-27	Claude	2026-05-28							
adef-cedre-bleu-saint-pierre	La Maison du Cèdre Bleu	Groupe	42	Premier contact	Saint-Pierre-du-Perray, 91280			NETSoins	138		EHPAD du groupe ADEF Résidences, Saint-Pierre-du-Perray (91)		Identifier le prénom de Mme Maillard et établir le premier contact	Claude	2026-05-27	Claude	2026-05-28							
adef-clematites-corbeil	La Maison des Clématites	Groupe	42	Premier contact	Corbeil-Essonnes, 91100			NETSoins	80		EHPAD du groupe ADEF Résidences, Corbeil-Essonnes (91)		Identifier le directeur — introuvable publiquement, appeler directement l'établissement	Claude	2026-05-27	Claude	2026-05-28							
adef-merisiers-morsang	La Maison des Merisiers	Groupe	42	Premier contact	Morsang-sur-Orge, 91390			NETSoins	84		EHPAD du groupe ADEF Résidences, Morsang-sur-Orge (91)		Établir le premier contact avec Boutheina Agha	Claude	2026-05-27	Claude	2026-05-28							
domusvi-oceane-paris19	Résidence Océane	Groupe	200	Premier contact	Paris 19e, 75019			NETSoins			EHPAD du groupe DomusVi, Paris 19e (75)		Appeler le 01 78 09 92 20 pour identifier le directeur/la directrice	Claude	2026-05-27	Claude	2026-05-28							
domusvi-gobelins-paris13	Résidence Les Gobelins	Groupe	200	Premier contact	Paris 13e, 75013			NETSoins			EHPAD du groupe DomusVi, Paris 13e (75)		Établir le premier contact avec Catherine Coutzac	Claude	2026-05-27	Claude	2026-05-28							
domusvi-tiers-temps-paris14	Résidence Tiers Temps	Groupe	200	Premier contact	Paris 14e, 75014			NETSoins			EHPAD du groupe DomusVi, Paris 14e (75)		Établir le premier contact avec Martin Horlait	Claude	2026-05-27	Claude	2026-05-28							
domusvi-villa-caroline-gennevilliers	Villa Caroline	Groupe	200	Premier contact	Gennevilliers, 92230			NETSoins			EHPAD du groupe DomusVi, Gennevilliers (92)		Appeler le 01 40 85 88 45 pour identifier le directeur/la directrice	Claude	2026-05-27	Claude	2026-05-28							
domusvi-passerelle-vitry	La Passerelle des Arts	Groupe	200	Premier contact	Vitry-sur-Seine, 94400			NETSoins			EHPAD du groupe DomusVi, Vitry-sur-Seine (94)		Vérifier si Aurélie Pique toujours directrice (en transition depuis jan. 2025) — appeler l'établissement	Claude	2026-05-27	Claude	2026-05-28							
domusvi-clementine-pitois-ablon	Résidence Clémentine Pitois	Groupe	200	Premier contact	Ablon-sur-Seine, 94480			NETSoins			EHPAD du groupe DomusVi, Ablon-sur-Seine (94)		Vérifier directrice actuelle (Aurélie Pique ou successeur depuis jan. 2025)	Claude	2026-05-27	Claude	2026-05-28							
domusvi-acacias-saint-maurice	Les Jardins des Acacias	Groupe	200	Premier contact	Saint-Maurice, 94410			NETSoins			EHPAD du groupe DomusVi, Saint-Maurice (94)		Appeler le 01 85 53 16 64 pour identifier le directeur/la directrice	Claude	2026-05-27	Claude	2026-05-28							
domusvi-jardins-thiais	Résidence Les Jardins de Thiais	Groupe	200	Premier contact	Thiais, 94320			NETSoins			EHPAD du groupe DomusVi, Thiais (94)		Établir le premier contact avec Laura Bigou	Claude	2026-05-27	Claude	2026-05-28							
domusvi-epinay	Les Jardins d'Épinay	Groupe	200	Premier contact	Épinay-sur-Seine, 93800			NETSoins			EHPAD du groupe DomusVi, Épinay-sur-Seine (93)		Établir le premier contact avec Isatu Bah	Claude	2026-05-27	Claude	2026-05-28							
partage-vie-quatre-saisons-plessis	EHPAD Aux Quatre Saisons	Groupe	86	Premier contact	Le Plessis-Robinson, 92350			NETSoins			EHPAD du groupe Partage et Vie, Le Plessis-Robinson (92)		Identifier le directeur via fondationpartageetvie.org ou en appelant l'établissement	Claude	2026-05-27	Claude	2026-05-28							
partage-vie-lanmodez-saint-mande	EHPAD Lanmodez	Groupe	86	Premier contact	Saint-Mandé, 94160			NETSoins			EHPAD du groupe Partage et Vie, Saint-Mandé (94)		Vérifier si Cécile Delpech toujours en poste ou identifier successeur	Claude	2026-05-27	Claude	2026-05-28							
colisee-maison-parents-paris13	La Maison des Parents	Groupe	218	Premier contact	Paris 13e, 75013			NETSoins			EHPAD du groupe Colisée, Paris 13e (75)		Contacter res-lamaisondesparents@colisee.fr pour identifier le directeur/la directrice	Claude	2026-05-27	Claude	2026-05-28							
colisee-val-osne-saint-maurice	Résidence Le Val d'Osne	Groupe	218	Premier contact	Saint-Maurice, 94410			NETSoins			EHPAD du groupe Colisée, Saint-Maurice (94)		Établir le premier contact avec Naïma Jandar	Claude	2026-05-27	Claude	2026-05-28							
colisee-arc-boise-champigny	Résidence de l'Arc Boisé	Groupe	218	Premier contact	Champigny-sur-Marne, 94500			NETSoins			EHPAD du groupe Colisée, Champigny-sur-Marne (94)		Vérifier si Anaïs Hennequin toujours directrice (en poste fév. 2024, possiblement partie) — appeler l'établissement	Claude	2026-05-27	Claude	2026-05-28							
colisee-epervier-bourget	Résidence L'Épervier	Groupe	218	Premier contact	Le Bourget, 93350			NETSoins			EHPAD du groupe Colisée, Le Bourget (93)		Établir le premier contact avec Cynthia Medjana (à confirmer)	Claude	2026-05-27	Claude	2026-05-28							
ehpad-de-la-loire	EHPAD de la Loire	Groupe		Premier contact	11 route de Chambles	0477363136		Inconnu	433			Groupe: Maison de retraite de la Loire | Finess: 420780769 | Lits: 433 | Hébergement min: 2 100,90  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Saint-Just-Saint-Rambert	Auvergne-Rhône-Alpes	France
ehpad-pays-du-gier-site-les-charmilles	EHPAD Pays du Gier - Site Les charmilles	Groupe		Premier contact	19 rue Laurent Charles	0477311515		Inconnu	400			Groupe: Centre hospitalier du Gier | Finess: 420784811 | Lits: 400 | Hébergement min: 2 181,00  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Saint-Chamond	Auvergne-Rhône-Alpes	France
ehpad-serge-bayle	EHPAD Serge Bayle	Groupe		Premier contact	Rue de l’Hopital	0473644000		Inconnu	383			Groupe: EHPAD Serge Bayle | Finess: 630781037 | Lits: 383 | Hébergement min: 2 273,70  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Aigueperse	Auvergne-Rhône-Alpes	France
ehpad-de-cours-la-ville	EHPAD de Cours-la-Ville	Groupe		Premier contact	287 rue de thizy	0474131010		Inconnu	390			Groupe: Centre hospitalier du Beaujolais vert | Finess: 690797824 | Lits: 390 | Hébergement min: 2 046,90  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Cours	Auvergne-Rhône-Alpes	France
ehpad-du-centre-hospitalier-du-mont-d-or	EHPAD du centre hospitalier du Mont d'Or	Groupe		Premier contact	6 chemin Notre-Dame	0472081515		Inconnu	352			Groupe: Centre hospitalier gériatrique du Mont d'Or | Finess: 690800941 | Lits: 352 | Hébergement min: 2 250,90  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Albigny-sur-Saône	Auvergne-Rhône-Alpes	France
ehpad-clairefond	EHPAD Clairefond	Groupe		Premier contact	Rue Sainte-Marie	0475057775		Inconnu	272			Groupe: Centre hospitalier Drôme Nord | Finess: 260005061 | Lits: 272 | Hébergement min: 2 572,20  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Romans-sur-Isère	Auvergne-Rhône-Alpes	France
ehpad-mon-repos	EHPAD Mon Repos	Groupe		Premier contact	5 place Jean Rimbert	0473732828		Inconnu	301			Groupe: EHPAD Mon Repos Lezoux | Finess: 630781227 | Lits: 301 | Hébergement min: 2 123,70  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Lezoux	Auvergne-Rhône-Alpes	France
ehpad-les-jardins-de-coublevie	EHPAD Les Jardins de Coublevie	Groupe		Premier contact	Chemin des Dominicains	0476671310		Inconnu	279			Groupe: Centre hospitalier universitaire Grenoble Alpes (CHU38) | Finess: 380784769 | Lits: 279 | Hébergement min: 2 256,00  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Coublevie	Auvergne-Rhône-Alpes	France
ehpad-de-cusset	EHPAD de Cusset	Groupe		Premier contact	Rue Basse du Ruisseau	0470303838		Inconnu	282			Groupe: EHPAD de Cusset | Finess: 30780134 | Lits: 282 | Hébergement min: 2 022,00  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Cusset	Auvergne-Rhône-Alpes	France
maison-de-retraite-du-centre-hospitalier	Maison de retraite du centre hospitalier	Groupe		Premier contact	22 rue du docteur Roux	0478073000		Inconnu	220			Groupe: Centre hospitalier Montgelas | Finess: 690800024 | Lits: 220 | Hébergement min: 2 403,60  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Givors	Auvergne-Rhône-Alpes	France
ehpad-saint-loup	EHPAD Saint-Loup	Groupe		Premier contact	3 boulevard Saint-Roch	0473604848		Inconnu	237			Groupe: Centre hospitalier de Billom | Finess: 630788073 | Lits: 237 | Hébergement min: 2 160,60  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Billom	Auvergne-Rhône-Alpes	France
ehpad-morestel	EHPAD Morestel	Groupe		Premier contact	539 rue François Perrin	0474800244		Inconnu	220			Groupe: CH de Morestel | Finess: 380799478 | Lits: 220 | Hébergement min: 2 318,40  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Morestel	Auvergne-Rhône-Alpes	France
ehpad-du-centre-hospitalier-coeur-du-bourbonnais	EHPAD du Centre hospitalier Coeur du Bourbonnais	Groupe		Premier contact	Rue des Fossés	0470476060		Inconnu	243			Groupe: Centre hospitalier Coeur du Bourbonnais | Finess: 30784169 | Lits: 243 | Hébergement min: 1 996,20  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Saint-Pourçain-sur-Sioule	Auvergne-Rhône-Alpes	France
ehpad-du-centre-hospitalier-du-pays-de-gex	EHPAD du Centre hospitalier du Pays de Gex	Groupe		Premier contact	160 rue Marc Panissod	0450403838		Inconnu	220			Groupe: Centre hospitalier du Pays de Gex | Finess: 10784510 | Lits: 220 | Hébergement min: 2 178,60  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Gex	Auvergne-Rhône-Alpes	France
ehpad-le-perron	EHPAD Le Perron	Groupe		Premier contact	Route d’Izeron	0476382637		Inconnu	204			Groupe: Centre hospitalier Intercommunal Vercors Isère | Finess: 380803916 | Lits: 204 | Hébergement min: 2 322,60  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Saint-Sauveur	Auvergne-Rhône-Alpes	France
ehpad-francois-greze	EHPAD François Grèze	Groupe		Premier contact	Avenue du 8 mai 1945	0470997000		Inconnu	236			Groupe: EHPAD de Lapalisse | Finess: 30780761 | Lits: 236 | Hébergement min: 1 935,60  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Lapalisse	Auvergne-Rhône-Alpes	France
ehpad-la-montagne	EHPAD La Montagne	Groupe		Premier contact	114 route de Relevant	0474550044		Inconnu	210			Groupe: EHPAD La Montagne | Finess: 10788024 | Lits: 210 | Hébergement min: 2 170,50  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Châtillon-sur-Chalaronne	Auvergne-Rhône-Alpes	France
ehpad-les-monts-du-soir	EHPAD Les monts du soir	Groupe		Premier contact	22 rue du Faubourg de la Croix	0477967202		Inconnu	209			Groupe: Groupe SOS Séniors | Finess: 420784860 | Lits: 209 | Hébergement min: 2 171,40  € | Typologie: Privé non lucratif		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Montbrison	Auvergne-Rhône-Alpes	France
ehpad-francois-mitterrand	EHPAD François Mitterrand	Groupe		Premier contact	1 avenue de la République	0470906200		Inconnu	224			Groupe: EHPAD François Mitterrand Gannat | Finess: 30780142 | Lits: 224 | Hébergement min: 2 014,50  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Gannat	Auvergne-Rhône-Alpes	France
ehpad-leon-rouveyrol	EHPAD Léon Rouveyrol	Groupe		Premier contact	3 avenue de la Gare	0475361060		Inconnu	222			Groupe: Centre hospitalier Ardèche-Méridionale | Finess: 70783329 | Lits: 222 | Hébergement min: 2 004,30  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Aubenas	Auvergne-Rhône-Alpes	France
ehpad-de-l-hopital-local-de-saint-galmier	EHPAD de L Hôpital local de Saint-Galmier	Groupe		Premier contact	Route de Cuzieu	0477360500		Inconnu	206			Groupe: CH Maurice André | Finess: 420786873 | Lits: 206 | Hébergement min: 2 070,30  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Saint-Galmier	Auvergne-Rhône-Alpes	France
ehpad-la-clairere	EHPAD La Clairère	Groupe		Premier contact	Chemin du Vert Galant	0474054740		Inconnu	200			Groupe: Hôpital Nord-Ouest - Tarare | Finess: 690787346 | Lits: 200 | Hébergement min: 2 126,70  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Tarare	Auvergne-Rhône-Alpes	France
ehpad-du-centre-hospitalier-d-annonay	EHPAD du Centre hospitalier d'Annonay	Groupe		Premier contact	Rue du Bon Pasteur	0475673568		Inconnu	200			Groupe: Centre hospitalier Ardèche Nord | Finess: 70784483 | Lits: 200 | Hébergement min: 2 075,40  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Annonay	Auvergne-Rhône-Alpes	France
ehpad-le-chenois-bavillers	EHPAD Le Chenois Bavillers	Groupe		Premier contact	16 rue Alfred Engel	0384903900		Inconnu	390			Groupe: Centre hospitalier de soins de longue durée Le Chênois | Finess: 900002056 | Lits: 390 | Hébergement min: 2 523,30  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Bavilliers	Bourgogne-Franche-Comté	France
ehpad-maison-departementale-de-retraite-de-l-yonne	EHPAD - Maison départementale de retraite de l'Yonne	Groupe		Premier contact	7 avenue de Lattre de Tassigny	0386726262		Inconnu	425			Groupe: Maison départementale de retraite de l'Yonne | Finess: 890972227 | Lits: 425 | Hébergement min: 2 114,10  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Auxerre	Bourgogne-Franche-Comté	France
ehpad-centre-nicolas-rollin	EHPAD Centre Nicolas Rollin	Groupe		Premier contact	Rue René Payot	0380244444		Inconnu	256			Groupe: Hospices Civils de Beaune | Finess: 210983615 | Lits: 256 | Hébergement min: 2 170,50  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Beaune	Bourgogne-Franche-Comté	France
ehpad-pignelin	EHPAD Pignelin	Groupe		Premier contact	Rue des 4 Cheminees	0386938049		Inconnu	255			Groupe: CH de l'Agglomération de Nevers | Finess: 580971034 | Lits: 255 | Hébergement min: 2 125,50  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Varennes-Vauzelles	Bourgogne-Franche-Comté	France
ehpad-maison-du-combattant	EHPAD Maison du Combattant	Groupe		Premier contact	26 rue Pierre de Coubertin	0384771212		Inconnu	237			Groupe: Oeuvre des Anciens Combattants | Finess: 700781859 | Lits: 237 | Hébergement min: 2 156,10  € | Typologie: Privé non lucratif		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Vesoul	Bourgogne-Franche-Comté	France
ehpad-la-maison-blanche	EHPAD La Maison Blanche	Groupe		Premier contact	24 rue de la Maison Blanche	0384571900		Inconnu	203			Groupe: Association Maison de retraite la Providence | Finess: 900003211 | Lits: 203 | Hébergement min: 2 484,90  € | Typologie: Privé non lucratif		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Beaucourt	Bourgogne-Franche-Comté	France
ehpad-les-terres-de-diane	EHPAD Les terres de Diane	Groupe		Premier contact	2 avenue de l'Europe	0385490120		Inconnu	209			Groupe: Centre hospitalier William Morey | Finess: 710780974 | Lits: 209 | Hébergement min: 2 387,40  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Saint-Rémy	Bourgogne-Franche-Comté	France
ehpad-du-larmont	EHPAD du Larmont	Groupe		Premier contact	10 rue Jules Grévy	0381386800		Inconnu	222			Groupe: Centre hospitalier intercommunal de Haute-Comté | Finess: 250004041 | Lits: 222 | Hébergement min: 2 166,90  € | Typologie: Public		import-ehpad	2026-05-29				EHPAD	Inconnu	1	Doubs	Bourgogne-Franche-Comté	France
